"","PartID","GROUP_NUM","RECALL","GROUP_FACTOR"
"1",1,1,9,"Counting"
"2",2,1,8,"Counting"
"3",3,1,6,"Counting"
"4",4,1,8,"Counting"
"5",5,1,10,"Counting"
"6",6,1,4,"Counting"
"7",7,1,6,"Counting"
"8",8,1,5,"Counting"
"9",9,1,7,"Counting"
"10",10,1,7,"Counting"
"11",11,2,7,"Rhyming"
"12",12,2,9,"Rhyming"
"13",13,2,6,"Rhyming"
"14",14,2,6,"Rhyming"
"15",15,2,6,"Rhyming"
"16",16,2,11,"Rhyming"
"17",17,2,6,"Rhyming"
"18",18,2,3,"Rhyming"
"19",19,2,8,"Rhyming"
"20",20,2,7,"Rhyming"
"21",21,3,11,"Adjective"
"22",22,3,13,"Adjective"
"23",23,3,8,"Adjective"
"24",24,3,6,"Adjective"
"25",25,3,14,"Adjective"
"26",26,3,11,"Adjective"
"27",27,3,13,"Adjective"
"28",28,3,13,"Adjective"
"29",29,3,10,"Adjective"
"30",30,3,11,"Adjective"
"31",31,4,12,"Imagery"
"32",32,4,11,"Imagery"
"33",33,4,16,"Imagery"
"34",34,4,11,"Imagery"
"35",35,4,9,"Imagery"
"36",36,4,23,"Imagery"
"37",37,4,12,"Imagery"
"38",38,4,10,"Imagery"
"39",39,4,19,"Imagery"
"40",40,4,11,"Imagery"
"41",41,5,10,"Intentional"
"42",42,5,19,"Intentional"
"43",43,5,14,"Intentional"
"44",44,5,5,"Intentional"
"45",45,5,10,"Intentional"
"46",46,5,11,"Intentional"
"47",47,5,14,"Intentional"
"48",48,5,15,"Intentional"
"49",49,5,11,"Intentional"
"50",50,5,11,"Intentional"
